# Jan 4 2017
# ---------------------------------------------
# Sentinel (main) Colormap by akudrya. 1:1 uniquness
# Source: https://github.com/AstroDigital/ad-api/issues/292#issuecomment-231267228

mode = 255
56 58 62
57 59 63
58 60 64
59 61 65
60 62 66
61 64 67
61 64 68
62 65 69
63 66 70
65 67 71
66 68 72
66 69 73
67 70 73
68 71 75
69 72 76
71 73 77
72 74 78
72 75 78
74 76 80
74 77 81
75 78 82
77 79 83
78 80 84
78 81 85
80 82 86
80 83 87
81 84 88
82 84 88
84 86 90
84 87 91
85 87 91
87 89 93
87 90 93
88 91 94
90 92 96
91 93 97
91 94 97
93 95 99
93 96 99
95 97 101
95 98 101
96 99 102
97 99 103
98 100 103
99 102 105
100 103 106
101 104 107
102 105 108
103 106 109
104 106 110
105 108 111
106 108 112
107 110 113
108 110 114
109 111 115
110 112 115
111 113 117
112 114 118
113 115 119
114 116 120
114 117 120
116 118 122
117 119 122
118 120 123
119 121 124
120 122 126
121 123 126
122 124 128
122 125 128
124 126 129
124 127 130
126 128 131
127 129 132
127 129 133
129 131 134
129 132 135
131 133 136
132 134 137
133 135 138
134 136 139
135 137 140
136 138 141
137 139 142
137 139 142
139 141 144
140 142 145
141 142 145
142 144 147
143 145 148
144 146 149
145 147 150
146 148 151
147 149 152
148 150 153
149 151 154
150 152 155
151 152 155
152 154 156
152 154 157
154 156 158
155 157 159
156 158 161
157 159 161
158 160 162
159 161 164
160 161 164
160 162 165
161 163 166
163 165 167
164 165 168
164 166 169
165 167 170
166 168 171
167 169 172
168 170 173
169 171 174
170 172 174
172 173 176
172 174 177
173 175 178
175 176 179
175 177 180
176 178 181
178 179 182
178 180 182
179 181 183
180 181 184
181 183 186
182 184 186
183 184 187
184 186 189
185 187 189
186 188 190
187 189 191
189 190 193
189 191 193
190 192 194
191 193 195
192 194 196
193 194 197
194 196 198
195 197 199
196 197 200
197 199 201
198 200 202
199 200 203
200 202 204
201 203 205
202 204 206
203 205 207
204 206 208
205 207 209
205 208 209
207 209 211
208 209 211
209 211 213
210 212 214
211 213 215
212 214 216
213 214 217
214 216 218
215 216 218
216 217 219
217 218 220
218 220 222
219 220 222
220 222 224
150 17 0
158 19 0
167 21 0
173 21 0
181 24 0
188 25 0
196 27 0
202 28 0
211 30 0
222 31 0
229 33 0
238 35 0
248 37 0
255 40 0
255 46 0
255 55 0
255 63 0
255 70 0
255 78 0
255 86 0
254 95 0
255 102 0
255 109 0
255 117 0
255 123 0
255 131 0
255 139 0
255 149 0
255 155 0
255 163 0
254 169 0
255 174 0
255 179 0
254 186 0
255 192 0
255 196 0
255 202 0
255 208 0
255 212 0
255 219 0
255 225 0
255 231 0
255 235 0
254 240 0
255 246 0
254 251 0
248 248 0
243 246 0
237 244 0
232 242 0
227 240 0
220 237 0
215 235 0
210 232 0
204 230 0
198 227 0
193 225 0
186 222 0
180 219 0
175 217 0
170 216 0
165 213 0
159 211 0
153 208 0
147 204 0
141 199 0
135 195 0
130 192 0
125 188 0
117 183 0
112 179 0
106 175 0
100 171 0
94 166 0
90 164 0
82 159 0
76 154 0
72 152 1
65 147 0
59 143 0
54 139 0
48 135 0
41 130 0
36 127 1
31 123 0
25 119 0
18 114 0
11 110 0
7 107 0
